Food Category,Food name,Source,Vendor,Ingredients,Average quantity per serving,,,,,,,,,,,,,,Average quantity per 100g,,,,,,,,,,,,
,,,,,Serving Size (g),Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL,Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL
Salads,Tuna pasta salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Pasta (48%), Thickener (405), Colour (160a), Tuna (14%), Vinegar (260), red capsicum, green capsicum, corn, onion, celery, canola oil, sugar, dill, garlic, mustard, herbs and spices, garlic extract, lecithin (soy), natural colour (160a), pepper, vegetable gum (415)",200,970,232,11.8,6,0.7,30.8,5.1,,470,,46,low,15,485,116,5.9,3,0.3,15.4,2.6,,235,,46,low,7
,Fruit salad medium,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","pineapple (78g), rockmelon/cantaloupe (20g), honeydew melon (24g), watermelon (188g), strawberry (41g), orange (85g)",436,744,178,3.3,1,0.3,38.8,38.4,7.3,25.2,,61,medium,16,145,35,0.6,0.2,0.1,7.6,7.5,1.4,4.9,,61,medium,4
,Fruit plate IPF salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Grape (20g), Honeydew melon (38g), Rockmelon/cantaloupe (31g), watermelon (54g), pineapple (31g), strawberry (12g)",186,268,64,1.2,0.4,0.1,13.9,13.9,2.3,25,32,63,medium,8,144,34,0.6,0.2,0.1,7.5,7.5,1.3,14,17,63,medium,4
,Bean medley salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Beans (12%) Beans (60%) (cannellini beans, butter beans, green baby, lima beans, borlotti beans, red kidney beans), water, sugar, salt, antioxidant (385), red kidney bean (12%), haricot beans (8%), soy beans (8%), Turtle bean (8%), corn, vinegar, green capsicum, celery, red capsicum, onion, carrot, canola oil, shallots, parsley, sugar, garlic, salt, mustard, natural colour (160a), pepper, vegetable gum (415)",200,796,190,9.2,6.4,0.6,20,7.8,,574,,51,low,7,398,95,4.6,3.2,0.3,10,3.9,,287,,51,low,4
,Lentil and walnut salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lentils (46%), tomato, vinegar, feta cheese (milk, vegetable oil, starter culture, vegetable rennet, salt), walnuts (7%), shallots, parsley, canola oil, sugar, garlic, salt, mustard, natural colour (160a), soy, pepper, vegetable gum (415)",250,1510,361,14.2,23.5,1.5,19.7,8.6,,950,,51,low,9,604,144,5.7,9.4,0.6,7.9,3.5,,380,,51,low,4
,German potato salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","potato (68%), vinegar, onion, red capsicum, shallots, canola oil, sugar, lemon juice, salt, pepper, garlic, seeded mustard, herbs and spices, garlic extract, hot english mustard (water, mustard seed, salt, vegetable oil spices, food acid (330), lecithin (soy), natural colour (160a), vegetable gum (415)",200,674,161,4.1,4.7,0.3,23.5,6.3,,378,,60,medium,14,337,81,2.1,2.4,0.2,11.7,3.1,,189,,60,medium,7
,Pumpkin and cous cous salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","pumpkin (56%), cous cous (20%) (durum wheat semolina), vinegar, canola oil, antioxidant (306), capsicum, shallots, mint, sugar, garlic, parsley, salt, pepper, mustard (contains acidity regulator 260), mustard (contains food acid (330), natural colour (160a), soy), vegetable gum (415)",200,667,159,2.1,11.3,0.8,10.8,6.6,,358,,72,high,8,334,80,1.1,5.7,0.4,5.4,3.3,,179,,72,high,6
,Chicken basil penne salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","pasta (52%), mayonnaise (vegetable oil, water, egg, vinegar, sugar, salt, mustard, food acid (330)), thickener (415), chicken meat (12%) (chicken, milk solids, thickeners (1422, 407, 415), salt, flavour (milk), mineral salt (451), gelling agent (508), soy lecithin (322), water), celery, tomato, canola oil, parsley, basil, parmsesan cheese (contains milk), salt, cheese topping, (contains anticaking agent (460), milk), vinegar, lemon juice (contains preservative 202), garlic, pepper.",200,1950,465,10.8,32.8,3.3,30.7,4.2,,636,,46,low,15,973,232,5.4,16.4,1.7,15.4,2.1,,318,,46,low,7
,Tabbouleh dressed salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","parsely, shallots, tomato, cucumber, vinegar, onion, wheat, canola oil (antioxidant 306), sugar, lemon juice (contains preservative 202), salt, garlic, mustard, natural colour (160a), soy, pepper, vegetable gum (415)",200,526,126,4,5,0.4,13.8,7.3,,429,,48,low,16,263,63,2,2.5,0.2,6.9,3.6,,214,,48,low,8
,Greek Salad IPF,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","oil and vinegar based salad dressing (10g), green capsicum (20g), red capsicum (20g), feta cheese (20g), cucumber (50g), onion (20g), lettuce (40g), black olive (20g), tomato (80g)",280,760,181,8,14,3.5,5.9,5.3,3.8,548,,,,,271,65,2.8,5,1.2,2.1,1.9,1.4,196,,,,
